Monselice comune,Monselice comune.1
,
Monselice – VedutaPanorama dal percorso delle Sette Chiese,Monselice – VedutaPanorama dal percorso delle Sette Chiese
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Stefano Peraro (vicesindaco reggente) (LSP/LV - civiche) dal 28-1-2026
Territorio,Territorio
Coordinate,45°14′N 11°45′E
Altitudine,13 m s.l.m.
Superficie,"50,57 km²"
Abitanti,17 043[1] (30-11-2025)
Densità,"337,02 ab./km²"
Frazioni,"Ca' Oddo, Marendole, Monticelli, San Bortolo, San Cosma, Schiavonia."
Comuni confinanti,"Arquà Petrarca, Baone, Battaglia Terme, Este, Galzignano Terme, Pernumia, Pozzonovo, San Pietro Viminario, Sant'Elena, Solesino, Tribano"
Altre informazioni,Altre informazioni
Cod. postale,35043
Prefisso,0429
Fuso orario,UTC+1
Codice ISTAT,028055
Cod. catastale,F382
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 411 GG[3]"
Nome abitanti,monselicensi
Patrono,Savino di Spoleto
Giorno festivo,2 novembre
Cartografia,Cartografia
Monselice,Monselice
Monselice – MappaPosizione del comune di Monselice all'interno della provincia di Padova,Monselice – MappaPosizione del comune di Monselice all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
