Lozzo Atestino comune,Lozzo Atestino comune.1
,
Lozzo Atestino – VedutaPiazza Vittorio Emanuele II con palazzina municipale e monumento ai caduti.,Lozzo Atestino – VedutaPiazza Vittorio Emanuele II con palazzina municipale e monumento ai caduti.
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Luca Ruffin (lista civica Continuità e Coerenza) dal 13-6-2022
Territorio,Territorio
Coordinate,45°17′14.19″N 11°36′38.23″E
Altitudine,19 m s.l.m.
Superficie,"24,07 km²"
Abitanti,3 083[1] (30-11-2025)
Densità,"128,08 ab./km²"
Frazioni,"Chiavicone, Lanzetta, Valbona"
Comuni confinanti,"Agugliaro (VI), Baone, Cinto Euganeo, Este, Noventa Vicentina (VI), Ospedaletto Euganeo, Vo'"
Altre informazioni,Altre informazioni
Cod. postale,35034
Prefisso,0429
Fuso orario,UTC+1
Codice ISTAT,028047
Cod. catastale,E709
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 487 GG[3]"
Nome abitanti,lutensi o lozzesi
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Lozzo Atestino,Lozzo Atestino
Lozzo Atestino – MappaPosizione del comune di Lozzo Atestino all'interno della provincia di Padova,Lozzo Atestino – MappaPosizione del comune di Lozzo Atestino all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
