Padova comune,Padova comune.1
,
Padova – Veduta,Padova – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Sergio Giordani (indipendente di centro-sinistra) dal 28-06-2017 (2º mandato dal 21-6-2022)
Territorio,Territorio
Coordinate,45°24′28″N 11°52′24″E
Altitudine,12 m s.l.m.
Superficie,"93,03 km²"
Abitanti,208 127[1] (30-11-2025)
Densità,"2 237,2 ab./km²"
Comuni confinanti,"Abano Terme, Albignasego, Cadoneghe, Legnaro, Limena, Noventa Padovana, Ponte San Nicolò, Rubano, Saonara, Selvazzano Dentro, Vigodarzere, Vigonovo (VE), Vigonza, Villafranca Padovana"
Altre informazioni,Altre informazioni
Cod. postale,35121–35143
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028060
Cod. catastale,G224
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 383 GG[3]"
Nome abitanti,"padovani, patavini"
Patrono,sant'Antonio
Giorno festivo,13 giugno
Cartografia,Cartografia
Padova,Padova
Padova – MappaPosizione del comune di Padova all'interno dell'omonima provincia,Padova – MappaPosizione del comune di Padova all'interno dell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
