Santa Caterina d'Este comune,Santa Caterina d'Este comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Tiberio Businaro (lista civica Insieme per Santa Caterina d'Este) dal 10-6-2024
Data di istituzione,22 gennaio 2024
Territorio,Territorio
Coordinate,45°11′44.99″N 11°37′15.35″E
Altitudine,10 m s.l.m.
Superficie,"26,89 km²"
Abitanti,2 323[1] (30-11-2025)
Densità,"86,39 ab./km²"
Comuni confinanti,"Este, Ospedaletto Euganeo, Ponso, Piacenza d'Adige, Sant'Urbano, Villa Estense"
Altre informazioni,Altre informazioni
Cod. postale,35049 [2]
Prefisso,0429
Fuso orario,UTC+1
Codice ISTAT,028108
Cod. catastale,M438
Cl. sismica,zona 3 (sismicità bassa)[3]
Cartografia,Cartografia
Santa Caterina d'Este,Santa Caterina d'Este
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
