Vescovana comune,Vescovana comune.1
,
Vescovana – VedutaChiesa di San Giovanni Battista,Vescovana – VedutaChiesa di San Giovanni Battista
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Marzio Pattaro (lista civica Torre Civica per Vescovana) dal 13-6-2022
Territorio,Territorio
Coordinate,45°08′N 11°43′E
Altitudine,7 m s.l.m.
Superficie,"22,25 km²"
Abitanti,1 653[1] (30-11-2025)
Densità,"74,29 ab./km²"
Frazioni,Santa Maria d'Adige
Comuni confinanti,"Barbona, Boara Pisani, Granze, Rovigo (RO), Sant'Urbano, Stanghella, Villa Estense"
Altre informazioni,Altre informazioni
Cod. postale,35040
Prefisso,0425
Fuso orario,UTC+1
Codice ISTAT,028097
Cod. catastale,L805
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 466 GG[3]"
Nome abitanti,vescovanesi
Patrono,san Giovanni Battista
Giorno festivo,29 agosto
Cartografia,Cartografia
Vescovana,Vescovana
Vescovana – MappaPosizione del comune di Vescovana all'interno della provincia di Padova,Vescovana – MappaPosizione del comune di Vescovana all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
