Piombino Dese comune,Piombino Dese comune.1
,
"Piombino Dese – VedutaVilla Cornaro, la facciata","Piombino Dese – VedutaVilla Cornaro, la facciata"
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Cesare Mason (lista civica trasversale Noi con Voi) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,45°36′24.12″N 11°59′52.44″E
Altitudine,24 m s.l.m.
Superficie,"29,63 km²"
Abitanti,9 555[1] (30-11-2025)
Densità,"322,48 ab./km²"
Frazioni,"Levada, Ronchi, Torreselle[2]"
Comuni confinanti,"Camposampiero, Istrana (TV), Loreggia, Morgano (TV), Resana (TV), Trebaseleghe, Vedelago (TV), Zero Branco (TV)"
Altre informazioni,Altre informazioni
Cod. postale,35017
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028064
Cod. catastale,G688
Targa,PD
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 421 GG[4]"
Nome abitanti,piombinesi
Patrono,san Biagio e san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Piombino Dese,Piombino Dese
Piombino Dese – MappaPosizione del comune di Piombino Dese all'interno della provincia di Padova,Piombino Dese – MappaPosizione del comune di Piombino Dese all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
