Tombolo comune,Tombolo comune.1
,
Tombolo – VedutaMunicipio,Tombolo – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Luca Frasson (lista civica Valore Domani) dal 10-6-2024
Territorio,Territorio
Coordinate,45°38′49″N 11°49′41″E
Altitudine,42 m s.l.m.
Superficie,"11,02 km²"
Abitanti,8 186[1] (30-11-2025)
Densità,"742,83 ab./km²"
Frazioni,Onara
Comuni confinanti,"Cittadella, Galliera Veneta, San Giorgio in Bosco, San Martino di Lupari, Villa del Conte"
Altre informazioni,Altre informazioni
Cod. postale,35019
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028091
Cod. catastale,L199
Targa,PD
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 431 GG[3]"
Nome abitanti,tombolani
Patrono,sant'Andrea
Giorno festivo,30 novembre
Cartografia,Cartografia
Tombolo,Tombolo
Tombolo – MappaPosizione del comune di Tombolo all'interno della provincia di Padova,Tombolo – MappaPosizione del comune di Tombolo all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
