Cadoneghe comune,Cadoneghe comune.1
,
Cadoneghe – Veduta,Cadoneghe – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Marco Schiesaro (centro-destra) dal 9-6-2019 (2º mandato dall'11-6-2024)
Territorio,Territorio
Coordinate,45°27′N 11°56′E
Altitudine,15 m s.l.m.
Superficie,"12,93 km²"
Abitanti,15 765[1] (30-11-2025)
Densità,"1 219,26 ab./km²"
Frazioni,"Bagnoli, Bragni, Cadoneghe, Castagnara, Mejaniga (sede comunale), Mezzavia"
Comuni confinanti,"Campodarsego, Padova, Vigodarzere, Vigonza"
Altre informazioni,Altre informazioni
Cod. postale,35010
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028016
Cod. catastale,B345
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 383 GG[3]"
Nome abitanti,cadoneghesi
Patrono,sant'Andrea Apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Cadoneghe,Cadoneghe
Cadoneghe – MappaPosizione del comune di Cadoneghe all'interno della provincia di Padova,Cadoneghe – MappaPosizione del comune di Cadoneghe all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
