Granze comune,Granze comune.1
,
"Granze – VedutaGranze, Via della Libertà, la principale via che attraversa l'abitato. Sulla sinistra l'edificio che ospita il Municipio, sulla destra la chiesa parrocchiale di Santa Cristina.","Granze – VedutaGranze, Via della Libertà, la principale via che attraversa l'abitato. Sulla sinistra l'edificio che ospita il Municipio, sulla destra la chiesa parrocchiale di Santa Cristina."
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Damiano Fusaro (lista civica Miglioriamo Insieme Granze) dall'11-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,45°09′15.08″N 11°43′11.03″E
Altitudine,6 m s.l.m.
Superficie,"11,47 km²"
Abitanti,1 875[1] (30-11-2025)
Densità,"163,47 ab./km²"
Frazioni,"Gorzon, Savellon, Quattro vie, Ponticelli"
Comuni confinanti,"Sant'Elena, Sant'Urbano, Solesino, Stanghella, Vescovana, Villa Estense"
Altre informazioni,Altre informazioni
Cod. postale,35040
Prefisso,0429
Fuso orario,UTC+1
Codice ISTAT,028043
Cod. catastale,E146
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 410 GG[3]"
Nome abitanti,granzesi
Patrono,santa Cristina
Giorno festivo,24 luglio
Cartografia,Cartografia
Granze,Granze
Granze – MappaPosizione del comune di Granze nella provincia di Padova,Granze – MappaPosizione del comune di Granze nella provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
