Arquà Petrarca comune,Arquà Petrarca comune.1
,
Arquà Petrarca – Veduta,Arquà Petrarca – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Andrea Schivo (lista civica di centro-destra Popolo di Arquà) dal 10-6-2024
Territorio,Territorio
Coordinate,45°16′N 11°43′E
Altitudine,80 m s.l.m.
Superficie,"12,52 km²"
Abitanti,1 785[1] (30-11-2025)
Densità,"142,57 ab./km²"
Comuni confinanti,"Baone, Galzignano Terme, Monselice"
Altre informazioni,Altre informazioni
Cod. postale,35032
Prefisso,0429
Fuso orario,UTC+1
Codice ISTAT,028005
Cod. catastale,A434
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 344 GG[3]"
Nome abitanti,arquatensi
Patrono,santissima Trinità
Giorno festivo,prima domenica dopo Pentecoste
Soprannome,Borgo del Poeta
Cartografia,Cartografia
Arquà Petrarca,Arquà Petrarca
Arquà Petrarca – MappaPosizione del comune di Arquà Petrarca all'interno della provincia di Padova,Arquà Petrarca – MappaPosizione del comune di Arquà Petrarca all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
