Arzergrande comune,Arzergrande comune.1
,
Arzergrande – Veduta,Arzergrande – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Filippo Lazzarin (LSP - lista civica di centro-destra Insieme per Voi) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°16′23″N 12°02′48″E
Altitudine,6 m s.l.m.
Superficie,"13,64 km²"
Abitanti,4 848[1] (30-11-2025)
Densità,"355,43 ab./km²"
Frazioni,Vallonga
Comuni confinanti,"Codevigo, Piove di Sacco, Pontelongo"
Altre informazioni,Altre informazioni
Cod. postale,35020
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028007
Cod. catastale,A458
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 313 GG[3]"
Nome abitanti,arzarani
Patrono,San Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Arzergrande,Arzergrande
Arzergrande – MappaPosizione del comune di Arzergrande all'interno della provincia di Padova,Arzergrande – MappaPosizione del comune di Arzergrande all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
