Campodoro comune,Campodoro comune.1
,
Campodoro – Veduta,Campodoro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Gianfranco Vezzaro (centro-destra) dal 10-6-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°29′N 11°45′E
Altitudine,23 m s.l.m.
Superficie,"11,22 km²"
Abitanti,2 727[1] (30-11-2025)
Densità,"243,05 ab./km²"
Frazioni,Bevadoro
Comuni confinanti,"Camisano Vicentino (VI), Grisignano di Zocco (VI), Mestrino, Piazzola sul Brenta, Villafranca Padovana"
Altre informazioni,Altre informazioni
Cod. postale,35010
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028018
Cod. catastale,B531
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 383 GG[3]"
Nome abitanti,campodoresi
Patrono,santa Margherita
Cartografia,Cartografia
Campodoro,Campodoro
Campodoro – MappaPosizione del comune di Campodoro all'interno della provincia di Padova,Campodoro – MappaPosizione del comune di Campodoro all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
