Baone comune,Baone comune.1
,
Baone – VedutaIl centro di Baone dal Monte Cero,Baone – VedutaIl centro di Baone dal Monte Cero
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Francesco Corso (lista civica di centro-sinistra Civicamente) dal 26-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°15′N 11°41′E
Altitudine,17 m s.l.m.
Superficie,"24,42 km²"
Abitanti,3 024[1] (30-11-2025)
Densità,"123,83 ab./km²"
Frazioni,"Calaone, Rivadolmo, Valle San Giorgio"
Comuni confinanti,"Arquà Petrarca, Cinto Euganeo, Este, Galzignano Terme, Lozzo Atestino, Monselice"
Altre informazioni,Altre informazioni
Cod. postale,35030
Prefisso,0429
Fuso orario,UTC+1
Codice ISTAT,028009
Cod. catastale,A613
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 487 GG[3]"
Nome abitanti,baonensi
Patrono,san Lorenzo
Giorno festivo,10 agosto (san Lorenzo) - 13 giugno (sant'Antonio da Padova) per gli uffici comunali
Cartografia,Cartografia
Baone,Baone
Baone – MappaPosizione del comune di Baone all'interno della provincia di Padova,Baone – MappaPosizione del comune di Baone all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
