Casalserugo comune,Casalserugo comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Matteo Cecchinato (lista civica Per Casalserugo e Ronchi) dall'11-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,45°19′N 11°55′E
Altitudine,8 m s.l.m.
Superficie,"15,5 km²"
Abitanti,5 294[1] (30-11-2025)
Densità,"341,55 ab./km²"
Frazioni,Ronchi del Volo
Comuni confinanti,"Albignasego, Bovolenta, Cartura, Maserà di Padova, Polverara, Ponte San Nicolò"
Altre informazioni,Altre informazioni
Cod. postale,35020
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028028
Cod. catastale,B912
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 383 GG[3]"
Nome abitanti,casalserughesi
Patrono,Maria SS. Purificata
Cartografia,Cartografia
Casalserugo,Casalserugo
Casalserugo – MappaPosizione del comune di Casalserugo all'interno della provincia di Padova,Casalserugo – MappaPosizione del comune di Casalserugo all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
