Agna comune,Agna comune.1
,
Agna – VedutaVeduta con la chiesa parrocchiale,Agna – VedutaVeduta con la chiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Stella Vegro (lista civica Oltre) dal 9-6-2024
Territorio,Territorio
Coordinate,45°10′N 11°58′E
Altitudine,3 m s.l.m.
Superficie,"18,8 km²"
Abitanti,3 173[1] (30-11-2025)
Densità,"168,78 ab./km²"
Frazioni,Frapiero
Comuni confinanti,"Anguillara Veneta, Arre, Bagnoli di Sopra, Candiana, Cavarzere (VE), Cona (VE), Correzzola"
Altre informazioni,Altre informazioni
Cod. postale,35021
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028002
Cod. catastale,A075
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 361 GG[3]"
Nome abitanti,agnensi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Agna,Agna
Agna – MappaPosizione del comune di Agna all'interno della provincia di Padova,Agna – MappaPosizione del comune di Agna all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
