Trebaseleghe comune,Trebaseleghe comune.1
,
Trebaseleghe – VedutaLa palazzina municipale,Trebaseleghe – VedutaLa palazzina municipale
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Antonella Zoggia (centro-destra) dal 26-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°35′N 12°03′E
Altitudine,22 m s.l.m.
Superficie,"30,66 km²"
Abitanti,12 970[1] (30-11-2025)
Densità,"423,03 ab./km²"
Frazioni,"Fossalta, Sant'Ambrogio, Silvelle[2]"
Comuni confinanti,"Camposampiero, Massanzago, Noale (VE), Piombino Dese, Scorzè (VE), Zero Branco (TV)"
Altre informazioni,Altre informazioni
Cod. postale,35010
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028093
Cod. catastale,L349
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 412 GG[4]"
Nome abitanti,trebaselicensi
Patrono,Natività della Beata Vergine Maria
Giorno festivo,8 settembre
Cartografia,Cartografia
Trebaseleghe,Trebaseleghe
Trebaseleghe – MappaPosizione del comune di Trebaseleghe all'interno della provincia di Padova,Trebaseleghe – MappaPosizione del comune di Trebaseleghe all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
