Montegrotto Terme comune,Montegrotto Terme comune.1
,
Montegrotto Terme – Veduta,Montegrotto Terme – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,"Riccardo Mortandello (Azione, eletto con: PSI - lista civica Sempre più Montegrotto Terme) dal 6-6-2016 (2º mandato dal 4-10-2021)"
Territorio,Territorio
Coordinate,45°20′N 11°47′E
Altitudine,11 m s.l.m.
Superficie,"15,37 km²"
Abitanti,11 643[1] (30-11-2025)
Densità,"757,51 ab./km²"
Frazioni,"Mezzavia, Turri"
Comuni confinanti,"Abano Terme, Battaglia Terme, Due Carrare, Galzignano Terme, Torreglia"
Altre informazioni,Altre informazioni
Cod. postale,35036
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028057
Cod. catastale,F529
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 383 GG[3]"
Nome abitanti,sampierani o sampietrini
Patrono,san Pietro apostolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Montegrotto Terme,Montegrotto Terme
Montegrotto Terme – MappaPosizione del comune di Montegrotto Terme all'interno della provincia di Padova,Montegrotto Terme – MappaPosizione del comune di Montegrotto Terme all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
