Maserà di Padova comune,Maserà di Padova comune.1
,
Maserà di Padova – VedutaPieve di Santa Maria,Maserà di Padova – VedutaPieve di Santa Maria
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Gabriele Volponi (lista civica di centro-destra Uniti per Maserà e Bertipaglia) dall'11-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,45°19′N 11°52′E
Altitudine,9 m s.l.m.
Superficie,"17,58 km²"
Abitanti,9 249[1] (30-11-2025)
Densità,"526,11 ab./km²"
Frazioni,Bertipaglia
Comuni confinanti,"Abano Terme, Albignasego, Cartura, Casalserugo, Due Carrare"
Altre informazioni,Altre informazioni
Cod. postale,35020
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028048
Cod. catastale,F011
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 383 GG[3]"
Nome abitanti,maseratensi
Patrono,Natività della Beata Vergine Maria
Giorno festivo,8 settembre
Cartografia,Cartografia
Maserà di Padova,Maserà di Padova
Maserà di Padova – MappaPosizione del comune di Maserà di Padova all'interno della provincia di Padova,Maserà di Padova – MappaPosizione del comune di Maserà di Padova all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
