Montagnana comune,Montagnana comune.1
,
Montagnana – VedutaVista dall'esterno della cinta muraria di Montagnana,Montagnana – VedutaVista dall'esterno della cinta muraria di Montagnana
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,"Gian Paolo Lovato (Lega-Liga Veneta, Forza Italia) dal 4-10-2021"
Territorio,Territorio
Coordinate,45°13′59.96″N 11°27′56.8″E
Altitudine,16 m s.l.m.
Superficie,"45,03 km²"
Abitanti,9 168[1] (30-11-2025)
Densità,"203,6 ab./km²"
Frazioni,"Borgo Frassine, Borgo San Marco, Borgo San Zeno Località: Caprano, Cicogna, Monastero, Ranfolina, Rovenega"
Comuni confinanti,"Borgo Veneto, Bevilacqua (VR), Casale di Scodosia, Minerbe (VR), Pojana Maggiore (VI), Pressana (VR), Roveredo di Guà (VR), Urbana"
Altre informazioni,Altre informazioni
Cod. postale,35044
Prefisso,0429
Fuso orario,UTC+1
Codice ISTAT,028056
Cod. catastale,F394
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 487 GG[3]"
Nome abitanti,montagnanesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Montagnana,Montagnana
Montagnana – MappaPosizione del comune di Montagnana all'interno della provincia di Padova,Montagnana – MappaPosizione del comune di Montagnana all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
