Curtarolo comune,Curtarolo comune.1
,
Curtarolo – Veduta,Curtarolo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Martina Rocchio (LSP - lista civica di centro-destra Martina Rocchio Sindaco) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°31′18.78″N 11°50′28.64″E
Altitudine,22 m s.l.m.
Superficie,"14,73 km²"
Abitanti,7 153[1] (30-11-2025)
Densità,"485,61 ab./km²"
Frazioni,"Pieve, Santa Maria di Non"
Comuni confinanti,"Campo San Martino, Limena, Piazzola sul Brenta, San Giorgio delle Pertiche, Vigodarzere"
Altre informazioni,Altre informazioni
Cod. postale,35010
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028036
Cod. catastale,D226
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 383 GG[3]"
Nome abitanti,curtarolesi
Patrono,Madonna di Tessara
Cartografia,Cartografia
Curtarolo,Curtarolo
Curtarolo – MappaPosizione del comune di Curtarolo all'interno della provincia di Padova,Curtarolo – MappaPosizione del comune di Curtarolo all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
