Sant'Elena comune,Sant'Elena comune.1
,
Sant'Elena – Veduta,Sant'Elena – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Valentina Businarolo (lista civica Sì Amo Sant'Elena) dal 10-6-2024
Territorio,Territorio
Coordinate,45°11′N 11°43′E
Altitudine,8 m s.l.m.
Superficie,"8,92 km²"
Abitanti,2 516[1] (30-11-2025)
Densità,"282,06 ab./km²"
Comuni confinanti,"Este, Granze, Monselice, Solesino, Villa Estense"
Altre informazioni,Altre informazioni
Cod. postale,35040
Prefisso,0429
Fuso orario,UTC+1
Codice ISTAT,028083
Cod. catastale,I319
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 466 GG[3]"
Nome abitanti,santelenesi
Patrono,Sant'Elena
Giorno festivo,18 agosto
Cartografia,Cartografia
Sant'Elena,Sant'Elena
Sant'Elena – MappaPosizione del comune di Sant'Elena all'interno della provincia di Padova,Sant'Elena – MappaPosizione del comune di Sant'Elena all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
