Barbona comune,Barbona comune.1
,
Barbona – VedutaIl municipio,Barbona – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Francesco Peotta (lista civica Insieme per Barbona) dall'8-6-2009 (4º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°06′10.73″N 11°42′16.31″E
Altitudine,7 m s.l.m.
Superficie,"8,59 km²"
Abitanti,568[1] (30-11-2025)
Densità,"66,12 ab./km²"
Frazioni,"Barbona, Lusia (sede comunale)[2]"
Comuni confinanti,"Lusia (RO), Rovigo (RO), Sant'Urbano, Vescovana"
Altre informazioni,Altre informazioni
Cod. postale,35040
Prefisso,0425
Fuso orario,UTC+1
Codice ISTAT,028010
Cod. catastale,A637
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 436 GG[4]"
Nome abitanti,barbonesi
Patrono,san Michele arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Barbona,Barbona
Barbona – MappaPosizione del comune di Barbona all'interno della provincia di Padova,Barbona – MappaPosizione del comune di Barbona all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
