Urbana comune,Urbana comune.1
,
Urbana – VedutaMunicipio di Urbana,Urbana – VedutaMunicipio di Urbana
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Michele Danielli (lista civica Per Urbana e San Salvaro) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°11′N 11°27′E
Altitudine,13 m s.l.m.
Superficie,"17,02 km²"
Abitanti,2 021[1] (30-11-2025)
Densità,"118,74 ab./km²"
Frazioni,San Salvaro
Comuni confinanti,"Bevilacqua (VR), Casale di Scodosia, Merlara, Montagnana"
Altre informazioni,Altre informazioni
Cod. postale,35040
Prefisso,0429
Fuso orario,UTC+1
Codice ISTAT,028095
Cod. catastale,L497
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 421 GG[3]"
Nome abitanti,urbaniesi
Patrono,san Gallo
Giorno festivo,16 ottobre
Cartografia,Cartografia
Urbana,Urbana
Urbana – MappaPosizione del comune di Urbana all'interno della provincia di Padova,Urbana – MappaPosizione del comune di Urbana all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
