Codevigo comune,Codevigo comune.1
,
"Codevigo – VedutaVia Vittorio Emanuele III, la via principale del paese. Sulla destra la palazzina sede municipale, in secondo piano la chiesa parrocchiale di San Zaccaria.","Codevigo – VedutaVia Vittorio Emanuele III, la via principale del paese. Sulla destra la palazzina sede municipale, in secondo piano la chiesa parrocchiale di San Zaccaria."
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Ettore Lazzaro (lista civica di centro-destra Continuità Attiva) dal 15-5-2023
Territorio,Territorio
Coordinate,45°16′02.1″N 12°06′05.11″E
Altitudine,3 m s.l.m.
Superficie,"70,02 km²"
Abitanti,6 269[1] (30-11-2025)
Densità,"89,53 ab./km²"
Frazioni,"Cambroso, Conche, Rosara, Santa Margherita Località: Castelcaro[2]"
Comuni confinanti,"Arzergrande, Campagna Lupia (VE), Chioggia (VE), Correzzola, Piove di Sacco, Pontelongo"
Altre informazioni,Altre informazioni
Cod. postale,35020
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028033
Cod. catastale,C812
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 313 GG[4]"
Nome abitanti,codevighesi
Patrono,san Zaccaria
Cartografia,Cartografia
Codevigo,Codevigo
Codevigo – MappaPosizione del comune di Codevigo all'interno della provincia di Padova,Codevigo – MappaPosizione del comune di Codevigo all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
