Noventa Padovana comune,Noventa Padovana comune.1
,
Noventa Padovana – VedutaFacciata di Villa Giovanelli a Noventa Padovana,Noventa Padovana – VedutaFacciata di Villa Giovanelli a Noventa Padovana
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Marcello Bano (LSP - lista civica di centro-destra Marcello Bano Sindaco) dal 4-10-2021
Territorio,Territorio
Coordinate,45°24′51.49″N 11°57′03.61″E
Altitudine,13 m s.l.m.
Superficie,"7,08 km²"
Abitanti,11 276[1] (30-11-2025)
Densità,"1 592,66 ab./km²"
Comuni confinanti,"Padova, Stra (VE), Vigonovo (VE), Vigonza"
Altre informazioni,Altre informazioni
Cod. postale,35027
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028058
Cod. catastale,F962
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 383 GG[3]"
Nome abitanti,noventani
Patrono,san Pietro apostolo e san Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Noventa Padovana,Noventa Padovana
Noventa Padovana – MappaPosizione del comune di Noventa Padovana all'interno della provincia di Padova,Noventa Padovana – MappaPosizione del comune di Noventa Padovana all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
