Due Carrare comune,Due Carrare comune.1
,
Due Carrare – VedutaPiazza del Municipio e Via Roma a Carrara San Giorgio,Due Carrare – VedutaPiazza del Municipio e Via Roma a Carrara San Giorgio
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Davide Moro (lista civica di centro-sinistra Praticamente Due Carrare) dal 31-5-2015 (2º mandato dal 20-9-2020)
Data di istituzione,21-3-1995
Territorio,Territorio
Coordinate,45°17′N 11°50′E
Altitudine,9 m s.l.m.
Superficie,"26,56 km²"
Abitanti,8 992[1] (30-11-2025)
Densità,"338,55 ab./km²"
Frazioni,"Cornegliana, Terradura[2]"
Comuni confinanti,"Abano Terme, Battaglia Terme, Cartura, Maserà di Padova, Montegrotto Terme, Pernumia"
Altre informazioni,Altre informazioni
Cod. postale,35020
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028106
Cod. catastale,M300
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[3]
Nome abitanti,carraresi
Patrono,Visitazione della Beata Vergine Maria
Giorno festivo,1º giugno[4]
Cartografia,Cartografia
Due Carrare,Due Carrare
Due Carrare – MappaPosizione del comune di Due Carrare all'interno della provincia di Padova,Due Carrare – MappaPosizione del comune di Due Carrare all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
