Torreglia comune,Torreglia comune.1
,
Torreglia – VedutaTorreglia vista da est (monte Alto),Torreglia – VedutaTorreglia vista da est (monte Alto)
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Marco Rigato (lista civica Io Amo Torreglia) dal 13-6-2022
Territorio,Territorio
Coordinate,45°20′N 11°44′E
Altitudine,16 m s.l.m.
Superficie,"18,85 km²"
Abitanti,6 039[1] (30-11-2025)
Densità,"320,37 ab./km²"
Frazioni,Luvigliano[2]
Comuni confinanti,"Abano Terme, Galzignano Terme, Montegrotto Terme, Teolo"
Altre informazioni,Altre informazioni
Cod. postale,35038
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028092
Cod. catastale,L270
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 383 GG[4]"
Nome abitanti,torregliani
Patrono,Sacro Cuore di Gesù
Giorno festivo,il venerdì dopo l'ottava di Corpus Domini
Cartografia,Cartografia
Torreglia,Torreglia
Torreglia – MappaPosizione del comune di Torreglia all'interno della provincia di Padova.,Torreglia – MappaPosizione del comune di Torreglia all'interno della provincia di Padova.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
