Sant'Urbano comune,Sant'Urbano comune.1
,
Sant'Urbano – VedutaL'edificio sede del municipio sito nella frazione di Ca' Morosini.,Sant'Urbano – VedutaL'edificio sede del municipio sito nella frazione di Ca' Morosini.
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Dionisio Fiocco (lista civica Insieme per Sant'Urbano) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,45°08′N 11°39′E
Altitudine,9 m s.l.m.
Superficie,"31,92 km²"
Abitanti,1 911[1] (30-11-2025)
Densità,"59,87 ab./km²"
Frazioni,"Balduina, Ca' Morosini, Carmignano, Sant'Urbano"
Comuni confinanti,"Barbona, Granze, Lendinara (RO), Lusia (RO), Piacenza d'Adige, Santa Caterina d'Este, Vescovana, Villa Estense"
Altre informazioni,Altre informazioni
Cod. postale,35040
Prefisso,0429
Fuso orario,UTC+1
Codice ISTAT,028084
Cod. catastale,I375
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 355 GG[3]"
Nome abitanti,santurbanesi
Cartografia,Cartografia
Sant'Urbano,Sant'Urbano
Sant'Urbano – MappaPosizione del comune di Sant'Urbano all'interno della provincia di Padova,Sant'Urbano – MappaPosizione del comune di Sant'Urbano all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
