Masi comune,Masi comune.1
,
Masi – VedutaMunicipio,Masi – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Luigi Vitetti (commissario prefettizio) dal 20-2-2026
Territorio,Territorio
Coordinate,45°07′N 11°30′E
Altitudine,11 m s.l.m.
Superficie,"13,77 km²"
Abitanti,1 824[1] (30-11-2025)
Densità,"132,46 ab./km²"
Comuni confinanti,"Badia Polesine (RO), Castelbaldo, Merlara, Piacenza d'Adige"
Altre informazioni,Altre informazioni
Cod. postale,35040
Prefisso,0425
Fuso orario,UTC+1
Codice ISTAT,028049
Cod. catastale,F013
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 355 GG[3]"
Nome abitanti,masieri
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Masi,Masi
Masi – MappaPosizione del comune di Masi all'interno della provincia di Padova,Masi – MappaPosizione del comune di Masi all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
