Casale di Scodosia comune,Casale di Scodosia comune.1
,
Casale di Scodosia – VedutaVilla Correr,Casale di Scodosia – VedutaVilla Correr
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Marcello Marchioro (lista civica Ambiente Lavoro Salute Casale) dal 21-9-2020
Territorio,Territorio
Coordinate,45°11′N 11°28′E
Altitudine,13 m s.l.m.
Superficie,"21,32 km²"
Abitanti,4 647[1] (30-11-2025)
Densità,"217,96 ab./km²"
Comuni confinanti,"Borgo Veneto, Megliadino San Vitale, Merlara, Montagnana, Piacenza d'Adige, Urbana"
Altre informazioni,Altre informazioni
Cod. postale,35040
Prefisso,0429
Fuso orario,UTC+1
Codice ISTAT,028027
Cod. catastale,B877
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 421 GG[3]"
Nome abitanti,casalesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Casale di Scodosia,Casale di Scodosia
Casale di Scodosia – MappaPosizione del comune di Casale di Scodosia all'interno della provincia di Padova,Casale di Scodosia – MappaPosizione del comune di Casale di Scodosia all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
