Ponso comune,Ponso comune.1
,
Ponso – VedutaChiesa di Santa Maria Assunta,Ponso – VedutaChiesa di Santa Maria Assunta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Sandro Parolo (lista civica Noi per Ponso) dal 9-6-2024
Territorio,Territorio
Coordinate,45°12′N 11°35′E
Altitudine,11 m s.l.m.
Superficie,"10,85 km²"
Abitanti,2 417[1] (30-11-2025)
Densità,"222,76 ab./km²"
Frazioni,Bresega Località: Chiesazza
Comuni confinanti,"Borgo Veneto, Ospedaletto Euganeo, Piacenza d'Adige, Santa Caterina d'Este"
Altre informazioni,Altre informazioni
Cod. postale,35040
Prefisso,0429
Fuso orario,UTC+1
Codice ISTAT,028067
Cod. catastale,G823
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 421 GG[3]"
Nome abitanti,ponsoni o ponsani
Cartografia,Cartografia
Ponso,Ponso
Ponso – MappaPosizione del comune di Ponso all'interno della provincia di Padova,Ponso – MappaPosizione del comune di Ponso all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
