Terrassa Padovana comune,Terrassa Padovana comune.1
,
Terrassa Padovana – VedutaLa facciata del Santuario della Beata Vergine della Misericordia,Terrassa Padovana – VedutaLa facciata del Santuario della Beata Vergine della Misericordia
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Filippo Silvestri (lista civica Viviamo Terrassa) dal 10-6-2024
Territorio,Territorio
Coordinate,45°15′N 11°54′E
Altitudine,6 m s.l.m.
Superficie,"14,81 km²"
Abitanti,2 721[1] (30-11-2025)
Densità,"183,73 ab./km²"
Frazioni,Arzercavalli
Comuni confinanti,"Arre, Bovolenta, Candiana, Cartura, Conselve"
Altre informazioni,Altre informazioni
Cod. postale,35020
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028090
Cod. catastale,L132
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 383 GG[3]"
Nome abitanti,terrassani
Cartografia,Cartografia
Terrassa Padovana,Terrassa Padovana
Terrassa Padovana – MappaPosizione del comune di Terrassa Padovana all'interno della provincia di Padova,Terrassa Padovana – MappaPosizione del comune di Terrassa Padovana all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
