Vigodarzere comune,Vigodarzere comune.1
,
Vigodarzere – VedutaVilla Mussato,Vigodarzere – VedutaVilla Mussato
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Adolfo Zordan (LSP - lista civica di centro-destra Il Centro Destra) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°28′52.96″N 11°52′25.58″E
Altitudine,17 m s.l.m.
Superficie,"19,92 km²"
Abitanti,13 272[1] (30-11-2025)
Densità,"666,27 ab./km²"
Frazioni,"Saletto, Tavo, Terraglione, Busiago"
Comuni confinanti,"Cadoneghe, Campodarsego, Curtarolo, Limena, Padova, San Giorgio delle Pertiche"
Altre informazioni,Altre informazioni
Cod. postale,35010
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028099
Cod. catastale,L892
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 383 GG[3]"
Nome abitanti,vigodarzeresi
Patrono,san Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Vigodarzere,Vigodarzere
Vigodarzere – MappaPosizione del comune di Vigodarzere all'interno della provincia di Padova,Vigodarzere – MappaPosizione del comune di Vigodarzere all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
