Pernumia comune,Pernumia comune.1
,
Pernumia – Veduta,Pernumia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Marco Montin (lista civica Futuro Impegno Solidarietà) dal 21-9-2020
Territorio,Territorio
Coordinate,45°16′N 11°47′E
Altitudine,9 m s.l.m.
Superficie,"13,18 km²"
Abitanti,3 753[1] (30-11-2025)
Densità,"284,75 ab./km²"
Comuni confinanti,"Battaglia Terme, Cartura, Due Carrare, Monselice, San Pietro Viminario"
Altre informazioni,Altre informazioni
Cod. postale,35020
Prefisso,0429
Fuso orario,UTC+1
Codice ISTAT,028061
Cod. catastale,G461
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 383 GG[3]"
Nome abitanti,pernumiani o pernumiensi
Patrono,santa Giustina
Giorno festivo,7 ottobre
Cartografia,Cartografia
Pernumia,Pernumia
Pernumia – MappaPosizione del comune di Pernumia all'interno della provincia di Padova,Pernumia – MappaPosizione del comune di Pernumia all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
