San Pietro Viminario comune,San Pietro Viminario comune.1
,
San Pietro Viminario – VedutaChiesa parrocchiale e convento di San Pietro,San Pietro Viminario – VedutaChiesa parrocchiale e convento di San Pietro
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Nicolas De Zuani (lista civica Liberi per Cambiare) dal 10-6-2024
Territorio,Territorio
Coordinate,45°15′N 11°49′E
Altitudine,7 m s.l.m.
Superficie,"13,31 km²"
Abitanti,2 983[1] (30-11-2025)
Densità,"224,12 ab./km²"
Frazioni,Vanzo[2]
Comuni confinanti,"Cartura, Conselve, Monselice, Pernumia, Tribano"
Altre informazioni,Altre informazioni
Cod. postale,35020
Prefisso,0429
Fuso orario,UTC+1
Codice ISTAT,028079
Cod. catastale,I120
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 411 GG[4]"
Nome abitanti,sampierani
Patrono,san Pietro
Giorno festivo,29 giugno
Cartografia,Cartografia
San Pietro Viminario,San Pietro Viminario
San Pietro Viminario – MappaPosizione del comune di San Pietro Viminario all'interno della provincia di Padova,San Pietro Viminario – MappaPosizione del comune di San Pietro Viminario all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
