Massanzago comune,Massanzago comune.1
,
Massanzago – Veduta,Massanzago – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,"Sabrina Schiavon (lista civica Per Massanzago, Sandono, Zeminiana) dal 10-6-2024"
Territorio,Territorio
Coordinate,45°33′00″N 12°01′00″E
Altitudine,18 m s.l.m.
Superficie,"13,22 km²"
Abitanti,6 108[1] (30-11-2025)
Densità,"462,03 ab./km²"
Frazioni,"Sandono, Zeminiana"
Comuni confinanti,"Borgoricco, Camposampiero, Trebaseleghe, Noale (VE), Santa Maria di Sala (VE)"
Altre informazioni,Altre informazioni
Cod. postale,35010
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028050
Cod. catastale,F033
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 421 GG[3]"
Nome abitanti,massanzaghesi
Patrono,sant'Alessandro
Giorno festivo,26 agosto
Cartografia,Cartografia
Massanzago,Massanzago
Massanzago – MappaPosizione del comune di Massanzago all'interno della provincia di Padova,Massanzago – MappaPosizione del comune di Massanzago all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
