Piazzola sul Brenta comune,Piazzola sul Brenta comune.1
,
Piazzola sul Brenta – Veduta,Piazzola sul Brenta – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Valter Milani (lista civica Io Voto Milani Sindaco) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°32′N 11°46′E
Altitudine,30 m s.l.m.
Superficie,"40,93 km²"
Abitanti,11 084[1] (30-11-2025)
Densità,"270,8 ab./km²"
Frazioni,"Carturo, Isola Mantegna, Presina, Tremignon, Vaccarino[2]"
Comuni confinanti,"Camisano Vicentino (VI), Campo San Martino, Campodoro, Curtarolo, Gazzo, Grantorto, Limena, San Giorgio in Bosco, Villafranca Padovana"
Altre informazioni,Altre informazioni
Cod. postale,35016
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028063
Cod. catastale,G587
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 383 GG[4]"
Nome abitanti,piazzolesi
Patrono,Natività Vergine Maria
Giorno festivo,8 settembre
Cartografia,Cartografia
Piazzola sul Brenta,Piazzola sul Brenta
Piazzola sul Brenta – MappaPosizione del comune di Piazzola sul Brenta all'interno della provincia di Padova,Piazzola sul Brenta – MappaPosizione del comune di Piazzola sul Brenta all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
