Camposampiero comune,Camposampiero comune.1
,
"Camposampiero – VedutaTorre della Rocca e Palazzo Tiso, sede dell'amministrazione comunale, in piazza Castello.","Camposampiero – VedutaTorre della Rocca e Palazzo Tiso, sede dell'amministrazione comunale, in piazza Castello."
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Katia Maccarrone (lista civica di centro-sinistra Camposampiero Più) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°34′N 11°56′E
Altitudine,24 m s.l.m.
Superficie,"21,12 km²"
Abitanti,11 883[1] (30-11-2025)
Densità,"562,64 ab./km²"
Frazioni,Rustega[2]
Comuni confinanti,"Borgoricco, Loreggia, Massanzago, Piombino Dese, San Giorgio delle Pertiche, Santa Giustina in Colle, Trebaseleghe"
Altre informazioni,Altre informazioni
Cod. postale,35012
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028019
Cod. catastale,B563
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 431 GG[4]"
Nome abitanti,camposampieresi
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Camposampiero,Camposampiero
Camposampiero – MappaPosizione del comune di Camposampiero all'interno della provincia di Padova,Camposampiero – MappaPosizione del comune di Camposampiero all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
