Bovolenta comune,Bovolenta comune.1
,
Bovolenta – VedutaVeduta,Bovolenta – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Anna Pittarello (lista civica Bovolenta viva) dal 1-6-2015 (2º mandato dal 21-9-2020)
Territorio,Territorio
Coordinate,45°16′N 11°56′E
Altitudine,6 m s.l.m.
Superficie,"22,78 km²"
Abitanti,3 405[1] (30-11-2025)
Densità,"149,47 ab./km²"
Frazioni,"Brusadure, Fossaragna Località[2]: Ca' Molin, San Lorenzo"
Comuni confinanti,"Brugine, Candiana, Cartura, Casalserugo, Polverara, Pontelongo, Terrassa Padovana"
Altre informazioni,Altre informazioni
Cod. postale,35024
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028014
Cod. catastale,B106
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 383 GG[4]"
Nome abitanti,bovolentani
Patrono,sant'Agostino
Giorno festivo,28 agosto
Cartografia,Cartografia
Bovolenta,Bovolenta
Bovolenta – MappaPosizione del comune di Bovolenta all'interno della provincia di Padova,Bovolenta – MappaPosizione del comune di Bovolenta all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
