Cervarese Santa Croce comune,Cervarese Santa Croce comune.1
,
Cervarese Santa Croce – Veduta,Cervarese Santa Croce – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Massimo Campagnolo (lista civica Passione Impegno Azione) dal 27-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°24′11″N 11°41′32″E
Altitudine,21 m s.l.m.
Superficie,"17,71 km²"
Abitanti,5 562[1] (30-11-2025)
Densità,"314,06 ab./km²"
Frazioni,"Cervarese Santa Croce, Fossona (sede comunale), Montemerlo[2]"
Comuni confinanti,"Montegalda (VI), Montegaldella (VI), Rovolon, Saccolongo, Teolo, Veggiano"
Altre informazioni,Altre informazioni
Cod. postale,35030
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028030
Cod. catastale,C544
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 383 GG[4]"
Nome abitanti,cervaresani
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Cervarese Santa Croce,Cervarese Santa Croce
Cervarese Santa Croce – MappaPosizione del comune di Cervarese Santa Croce all'interno della provincia di Padova,Cervarese Santa Croce – MappaPosizione del comune di Cervarese Santa Croce all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
