Battaglia Terme comune,Battaglia Terme comune.1
,
Battaglia Terme – VedutaVista dal ponte sul Canale Battaglia,Battaglia Terme – VedutaVista dal ponte sul Canale Battaglia
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Stefania Malparte (lista civica di centro-destra Battaglia Terme Riparte) dal 10-6-2024
Territorio,Territorio
Coordinate,45°17′21.73″N 11°46′46.52″E
Altitudine,11 m s.l.m.
Superficie,"6,23 km²"
Abitanti,3 876[1] (31-10-2024)
Densità,"622,15 ab./km²"
Comuni confinanti,"Due Carrare, Galzignano Terme, Monselice, Montegrotto Terme, Pernumia"
Altre informazioni,Altre informazioni
Cod. postale,35041
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028011
Cod. catastale,A714
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 344 GG[3]"
Nome abitanti,battagliensi
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Battaglia Terme,Battaglia Terme
Battaglia Terme – MappaPosizione del comune di Battaglia Terme all'interno della provincia di Padova,Battaglia Terme – MappaPosizione del comune di Battaglia Terme all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
