Polverara comune,Polverara comune.1
,
Polverara – Veduta,Polverara – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Simone Coccato (lista civica di centro-destra Orgoglio per Polverara) dal 10-6-2024
Territorio,Territorio
Coordinate,45°18′33.81″N 11°57′21.64″E
Altitudine,6 m s.l.m.
Superficie,"9,84 km²"
Abitanti,3 436[1] (30-11-2025)
Densità,"349,19 ab./km²"
Frazioni,Isola dell'Abbà
Comuni confinanti,"Bovolenta, Brugine, Casalserugo, Legnaro, Ponte San Nicolò"
Altre informazioni,Altre informazioni
Cod. postale,35020
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028066
Cod. catastale,G802
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 383 GG[3]"
Nome abitanti,polveraresi
Patrono,san Fidenzio di Padova
Giorno festivo,16 novembre
Cartografia,Cartografia
Polverara,Polverara
Polverara – MappaPosizione del comune di Polverara all'interno della provincia di Padova,Polverara – MappaPosizione del comune di Polverara all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
