Piove di Sacco comune,Piove di Sacco comune.1
,
"Piove di Sacco – VedutaPiazza Matteotti e, sulla destra, Palazzo Jappelli sede municipale.","Piove di Sacco – VedutaPiazza Matteotti e, sulla destra, Palazzo Jappelli sede municipale."
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Lucia Pizzo (centro-sinistra) dal 15-5-2023
Territorio,Territorio
Coordinate,45°17′51.69″N 12°02′12.53″E
Altitudine,5 m s.l.m.
Superficie,"35,73 km²"
Abitanti,20 289[1] (30-11-2025)
Densità,"567,84 ab./km²"
Frazioni,"Arzerello, Corte, Piovega, Tognana"
Comuni confinanti,"Arzergrande, Brugine, Campagna Lupia (VE), Campolongo Maggiore (VE), Codevigo, Pontelongo, Sant'Angelo di Piove di Sacco"
Altre informazioni,Altre informazioni
Cod. postale,35028
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028065
Cod. catastale,G693
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 360 GG[3]"
Nome abitanti,"piovesi, saccensi"
Patrono,san Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Piove di Sacco,Piove di Sacco
Piove di Sacco – MappaPosizione del comune di Piove di Sacco all'interno della provincia di Padova,Piove di Sacco – MappaPosizione del comune di Piove di Sacco all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
