Borgoricco comune,Borgoricco comune.1
,
Borgoricco – Veduta,Borgoricco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Gianluca Pedron (LSP - lista civica di centro-destra Con Stefani Avanti) dal 10-6-2024
Territorio,Territorio
Coordinate,45°32′00.82″N 11°57′57.16″E
Altitudine,18 m s.l.m.
Superficie,"20,39 km²"
Abitanti,9 091[1] (30-11-2025)
Densità,"445,86 ab./km²"
Frazioni,"San Michele delle Badesse, Sant'Eufemia[2]"
Comuni confinanti,"Campodarsego, Camposampiero, Massanzago, San Giorgio delle Pertiche, Santa Maria di Sala (VE), Villanova di Camposampiero"
Altre informazioni,Altre informazioni
Cod. postale,35010
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028013
Cod. catastale,B031
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 399 GG[4]"
Nome abitanti,borgoricchesi
Patrono,san Leonardo
Giorno festivo,6 novembre
Cartografia,Cartografia
Borgoricco,Borgoricco
Borgoricco – MappaPosizione del comune di Borgoricco all'interno della provincia di Padova,Borgoricco – MappaPosizione del comune di Borgoricco all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
