Teolo comune,Teolo comune.1
,
Teolo – Veduta,Teolo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Valentino Turetta (lista civica di centro-destra Teolo che Vale) dal 13-6-2022
Territorio,Territorio
Coordinate,45°21′N 11°40′E
Altitudine,175 m s.l.m.
Superficie,"31,2 km²"
Abitanti,8 951[1] (30-11-2025)
Densità,"286,89 ab./km²"
Frazioni,"Bresseo, Castelnuovo, Feriole, La Croce, San Biagio, Tramonte, Treponti (sede comunale), Villa."
Comuni confinanti,"Abano Terme, Cervarese Santa Croce, Galzignano Terme, Rovolon, Saccolongo, Selvazzano Dentro, Torreglia, Vo'"
Altre informazioni,Altre informazioni
Cod. postale,35037
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028089
Cod. catastale,L100
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 383 GG[3]"
Nome abitanti,teolesi
Giorno festivo,lunedì dopo 2ª domenica di ottobre (fiera di Bresseo)
Cartografia,Cartografia
Teolo,Teolo
Teolo – MappaPosizione del comune di Teolo all'interno della provincia di Padova,Teolo – MappaPosizione del comune di Teolo all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
