Boara Pisani comune,Boara Pisani comune.1
,
Boara Pisani – VedutaIl palazzo municipale,Boara Pisani – VedutaIl palazzo municipale
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Andrea Gastaldello (lista civica di centro-destra Per Boara) dal 4-10-2021
Territorio,Territorio
Coordinate,45°06′27.72″N 11°46′57.18″E
Altitudine,7 m s.l.m.
Superficie,"16,66 km²"
Abitanti,2 365[1] (30-11-2025)
Densità,"141,96 ab./km²"
Frazioni,Ca' Bianca
Comuni confinanti,"Anguillara Veneta, Pozzonovo, Rovigo (RO), Stanghella, Vescovana"
Altre informazioni,Altre informazioni
Cod. postale,35040
Prefisso,0425
Fuso orario,UTC+1
Codice ISTAT,028012
Cod. catastale,A906
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 466 GG[3]"
Nome abitanti,"boaresi, boarati in veneto"
Cartografia,Cartografia
Boara Pisani,Boara Pisani
Boara Pisani – MappaPosizione del comune di Boara Pisani all'interno della provincia di Padova,Boara Pisani – MappaPosizione del comune di Boara Pisani all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
