Limena comune,Limena comune.1
,
Limena – Veduta,Limena – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Stefano Tonazzo (lista civica di centro-destra Limena Civica) dal 26-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°28′N 11°51′E
Altitudine,22 m s.l.m.
Superficie,"15,16 km²"
Abitanti,8 239[1] (30-11-2025)
Densità,"543,47 ab./km²"
Frazioni,"Del Medico, Taggì di Sotto, Taggì di Sopra[2]"
Comuni confinanti,"Curtarolo, Padova, Piazzola sul Brenta, Vigodarzere, Villafranca Padovana"
Altre informazioni,Altre informazioni
Cod. postale,35010
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028045
Cod. catastale,E592
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 383 GG[4]"
Nome abitanti,limenesi
Patrono,san Felice e san Fortunato
Giorno festivo,14 maggio
Cartografia,Cartografia
Limena,Limena
Limena – MappaPosizione del comune di Limena all'interno della provincia di Padova,Limena – MappaPosizione del comune di Limena all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
