Pozzonovo comune,Pozzonovo comune.1
,
Pozzonovo – Veduta,Pozzonovo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Arianna Lazzarini (LSP - lista civica di centro-destra Arianna Lazzarini Sindaco) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,45°12′N 11°47′E
Altitudine,6 m s.l.m.
Superficie,"24,48 km²"
Abitanti,3 458[1] (30-11-2025)
Densità,"141,26 ab./km²"
Frazioni,Stroppare
Comuni confinanti,"Anguillara Veneta, Boara Pisani, Monselice, Solesino, Stanghella, Tribano"
Altre informazioni,Altre informazioni
Cod. postale,35020
Prefisso,0429
Fuso orario,UTC+1
Codice ISTAT,028070
Cod. catastale,G963
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 466 GG[3]"
Nome abitanti,pozzonovani
Patrono,"sant'Atanasio, Natività della Beata Vergine Maria"
Giorno festivo,"2 maggio, 8 settembre"
Cartografia,Cartografia
Pozzonovo,Pozzonovo
Pozzonovo – MappaPosizione del comune di Pozzonovo all'interno della provincia di Padova,Pozzonovo – MappaPosizione del comune di Pozzonovo all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
