Castelbaldo comune,Castelbaldo comune.1
,
Castelbaldo – VedutaVia Garibaldi e chiesa arcipretale di San Prosdocimo.,Castelbaldo – VedutaVia Garibaldi e chiesa arcipretale di San Prosdocimo.
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Riccardo Bernardinello (lista civica di centro-sinistra LineaFutura per Castelbaldo) dal 1-6-2015 (2º mandato dal 21-9-2020)
Territorio,Territorio
Coordinate,45°07′19″N 11°27′05″E
Altitudine,12 m s.l.m.
Superficie,"15,17 km²"
Abitanti,1 442[1] (30-11-2025)
Densità,"95,06 ab./km²"
Comuni confinanti,"Badia Polesine (RO), Masi, Merlara, Terrazzo (VR)"
Altre informazioni,Altre informazioni
Cod. postale,35040
Prefisso,0425
Fuso orario,UTC+1
Codice ISTAT,028029
Cod. catastale,C057
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 355 GG[3]"
Nome abitanti,castelbaldesi
Patrono,san Prosdocimo
Cartografia,Cartografia
Castelbaldo,Castelbaldo
Castelbaldo – MappaPosizione del comune di Castelbaldo all'interno della provincia di Padova,Castelbaldo – MappaPosizione del comune di Castelbaldo all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
