Abano Terme comune,Abano Terme comune.1
,
"Abano Terme – VedutaIl Grand Hotel Orologio, uno dei simboli di Abano Terme","Abano Terme – VedutaIl Grand Hotel Orologio, uno dei simboli di Abano Terme"
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Federico Barbierato (centro-sinistra) dal 27-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,45°21′42.84″N 11°47′32.64″E
Altitudine,14 m s.l.m.
Superficie,"21,41 km²"
Abitanti,20 464[1] (30-11-2025)
Densità,"955,82 ab./km²"
Frazioni,"Feriole, Giarre, Monteortone, Monterosso"
Comuni confinanti,"Albignasego, Due Carrare, Maserà di Padova, Montegrotto Terme, Padova, Selvazzano Dentro, Teolo, Torreglia"
Altre informazioni,Altre informazioni
Cod. postale,35031
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028001
Cod. catastale,A001
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 383 GG[3]"
Nome abitanti,aponensi
Patrono,san Lorenzo martire
Giorno festivo,10 agosto
Cartografia,Cartografia
Abano Terme,Abano Terme
Abano Terme – MappaPosizione del comune di Abano Terme all'interno della provincia di Padova,Abano Terme – MappaPosizione del comune di Abano Terme all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
