Saonara comune,Saonara comune.1
,
Saonara – VedutaLa chiesa di San Martino Vescovo,Saonara – VedutaLa chiesa di San Martino Vescovo
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Michela Lazzaro (lista civica Saonara Domani) dal 13-6-2022
Territorio,Territorio
Coordinate,45°22′12.97″N 11°59′02.36″E
Altitudine,10 m s.l.m.
Superficie,"13,54 km²"
Abitanti,10 859[1] (30-11-2025)
Densità,"801,99 ab./km²"
Frazioni,"Celeseo, Tombelle, Villatora[2]"
Comuni confinanti,"Legnaro, Padova, Sant'Angelo di Piove di Sacco, Vigonovo (VE)"
Altre informazioni,Altre informazioni
Cod. postale,35020
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028085
Cod. catastale,I418
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 423 GG[4]"
Nome abitanti,saonaresi
Patrono,san Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Saonara,Saonara
Saonara – MappaPosizione del comune di Saonara all'interno della provincia di Padova,Saonara – MappaPosizione del comune di Saonara all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
