Pontelongo comune,Pontelongo comune.1
,
"Pontelongo – VedutaVista sul ponte sul Bacchiglione con Villa Foscarini Erizzo, sede municipale.","Pontelongo – VedutaVista sul ponte sul Bacchiglione con Villa Foscarini Erizzo, sede municipale."
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Lisa Bregantin (lista civica di centro-destra Scegli Pontelongo) dal 10-6-2024
Territorio,Territorio
Coordinate,45°15′N 12°01′E
Altitudine,5 m s.l.m.
Superficie,"10,89 km²"
Abitanti,3 687[1] (30-11-2025)
Densità,"338,57 ab./km²"
Frazioni,Terranova
Comuni confinanti,"Arzergrande, Bovolenta, Brugine, Candiana, Codevigo, Correzzola, Piove di Sacco"
Altre informazioni,Altre informazioni
Cod. postale,35029
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028068
Cod. catastale,G850
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 360 GG[3]"
Nome abitanti,pontelongani
Patrono,"sant'Andrea, Madonna del Voto (ogni prima domenica di maggio)"
Giorno festivo,30 novembre
Cartografia,Cartografia
Pontelongo,Pontelongo
Pontelongo – MappaPosizione del comune di Pontelongo all'interno della provincia di Padova,Pontelongo – MappaPosizione del comune di Pontelongo all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
