Campodarsego comune,Campodarsego comune.1
,
Campodarsego – Veduta,Campodarsego – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Valter Gallo (lista civica di centro-destra Uno di Voi) dal 21-9-2020
Territorio,Territorio
Coordinate,45°30′N 11°55′E
Altitudine,17 m s.l.m.
Superficie,"25,72 km²"
Abitanti,15 114[1] (30-11-2025)
Densità,"587,64 ab./km²"
Frazioni,"Bronzola, Fiumicello, Reschigliano, Sant'Andrea Località: Bosco del Vescovo, Campanigalli"
Comuni confinanti,"Borgoricco, Cadoneghe, San Giorgio delle Pertiche, Vigodarzere, Vigonza, Villanova di Camposampiero"
Altre informazioni,Altre informazioni
Cod. postale,35011
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028017
Cod. catastale,B524
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 383 GG[3]"
Nome abitanti,campodarseghesi
Patrono,"santa Maria Assunta, san Martino"
Giorno festivo,"15 agosto, 11 novembre"
Cartografia,Cartografia
Campodarsego,Campodarsego
Campodarsego – MappaPosizione del comune di Campodarsego all'interno della provincia di Padova,Campodarsego – MappaPosizione del comune di Campodarsego all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
