Galzignano Terme comune,Galzignano Terme comune.1
,
Galzignano Terme – Veduta,Galzignano Terme – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Riccardo Masin (lista civica Uniti per Galzignano Terme) dal 27-5-2013 (3º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,45°18′28.73″N 11°43′52.82″E
Altitudine,22 m s.l.m.
Superficie,"18,2 km²"
Abitanti,4 271[1] (30-11-2025)
Densità,"234,67 ab./km²"
Frazioni,Valsanzibio
Comuni confinanti,"Arquà Petrarca, Baone, Battaglia Terme, Cinto Euganeo, Monselice, Montegrotto Terme, Teolo, Torreglia, Vo'"
Altre informazioni,Altre informazioni
Cod. postale,35030
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028040
Cod. catastale,D889
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 418 GG[3]"
Nome abitanti,galzignanesi
Patrono,Madonna del Rosario
Giorno festivo,7 ottobre
Soprannome,La perla dei Colli
Cartografia,Cartografia
Galzignano Terme,Galzignano Terme
Galzignano Terme – MappaPosizione del comune di Galzignano Terme all'interno della provincia di Padova,Galzignano Terme – MappaPosizione del comune di Galzignano Terme all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
