Ponte San Nicolò comune,Ponte San Nicolò comune.1
,
Ponte San Nicolò – VedutaIl ponte sul Roncajette,Ponte San Nicolò – VedutaIl ponte sul Roncajette
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Gabriele De Boni (lista civica di centro-sinistra Ponte San Nicolò Riparte) dal 10-6-2024
Territorio,Territorio
Coordinate,45°22′N 11°56′E
Altitudine,12 m s.l.m.
Superficie,"13,52 km²"
Abitanti,13 153[1] (30-11-2025)
Densità,"972,86 ab./km²"
Frazioni,"Rio, Roncaglia, Roncajette[2]"
Comuni confinanti,"Albignasego, Casalserugo, Legnaro, Padova, Polverara"
Altre informazioni,Altre informazioni
Cod. postale,35020
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028069
Cod. catastale,G855
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 383 GG[4]"
Nome abitanti,sannicolesi
Patrono,san Nicolò
Giorno festivo,6 dicembre
Cartografia,Cartografia
Ponte San Nicolò,Ponte San Nicolò
Ponte San Nicolò – MappaPosizione del comune di Ponte San Nicolò all'interno della provincia di Padova,Ponte San Nicolò – MappaPosizione del comune di Ponte San Nicolò all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
