Villafranca Padovana comune,Villafranca Padovana comune.1
,
Villafranca Padovana – Veduta,Villafranca Padovana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Luciano Salvò (lista civica Vivi Villafranca) dal 10-6-2024
Territorio,Territorio
Coordinate,45°29′03.31″N 11°47′38.37″E
Altitudine,22 m s.l.m.
Superficie,"23,96 km²"
Abitanti,10 595[1] (30-11-2025)
Densità,"442,2 ab./km²"
Frazioni,"Ronchi di Campanile, Taggì di Sopra, Taggì di Sotto"
Comuni confinanti,"Campodoro, Limena, Mestrino, Padova, Piazzola sul Brenta, Rubano"
Altre informazioni,Altre informazioni
Cod. postale,35010
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028103
Cod. catastale,L947
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 368 GG[3]"
Nome abitanti,villafranchesi
Patrono,santa Cecilia
Giorno festivo,13 giugno
Cartografia,Cartografia
Villafranca Padovana,Villafranca Padovana
Villafranca Padovana – MappaPosizione del comune di Villafranca Padovana all'interno della provincia di Padova,Villafranca Padovana – MappaPosizione del comune di Villafranca Padovana all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
