Borgo Veneto comune,Borgo Veneto comune.1
,
Borgo Veneto – VedutaChiesa di San Silvestro nella frazione di Saletto,Borgo Veneto – VedutaChiesa di San Silvestro nella frazione di Saletto
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Michele Sigolotto (lista civica di centro-destra Borgo Veneto 3.0) dall'11-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,45°13′44.79″N 11°32′18.83″E
Altitudine,12 m s.l.m.
Superficie,"39,171 km²"
Abitanti,7 046[1] (30-11-2025)
Densità,"179,88 ab./km²"
Frazioni,"Dossi, Megliadino San Fidenzio, Prà di Botte, Saletto, Santa Margherita d'Adige, Taglie"
Comuni confinanti,"Casale di Scodosia, Megliadino San Vitale, Montagnana, Noventa Vicentina (VI), Ospedaletto Euganeo, Pojana Maggiore (VI), Piacenza d'Adige, Ponso"
Altre informazioni,Altre informazioni
Cod. postale,35046
Prefisso,0429
Fuso orario,UTC+1
Codice ISTAT,028107
Cod. catastale,M402
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 487 GG[3]"
Nome abitanti,borghigiani
Patrono,Beata Vergine Maria
Giorno festivo,31 maggio
Cartografia,Cartografia
Borgo Veneto,Borgo Veneto
Borgo Veneto – MappaPosizione del comune di Borgo Veneto all'interno della provincia di Padova,Borgo Veneto – MappaPosizione del comune di Borgo Veneto all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
