Las Plassas comune,Las Plassas comune.1
(IT) Las Plassas (SC) Is Pràtzas,(IT) Las Plassas (SC) Is Pràtzas
,
Las Plassas – VedutaCastello di Las Plassas,Las Plassas – VedutaCastello di Las Plassas
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Medio Campidano
Amministrazione,Amministrazione
Sindaco,Andrea Lampis (lista civica) dall'11-10-2021
Territorio,Territorio
Coordinate,39°40′48.15″N 8°59′06.4″E
Altitudine,148 m s.l.m.
Superficie,"11,04 km²"
Abitanti,206[1] (30-11-2025)
Densità,"18,66 ab./km²"
Comuni confinanti,"Barumini, Pauli Arbarei, Tuili, Villamar, Villanovafranca"
Altre informazioni,Altre informazioni
Cod. postale,09020
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,117009
Cod. catastale,E464
Targa,VS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) lasplassesi (SC) ispratzesus
Patrono,santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Las Plassas,Las Plassas
Las Plassas – MappaPosizione del comune di Las Plassas nella provincia del Medio Campidano,Las Plassas – MappaPosizione del comune di Las Plassas nella provincia del Medio Campidano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
