Serrenti comune,Serrenti comune.1
"(IT, SC) Serrenti","(IT, SC) Serrenti"
,
Serrenti – VedutaChiesa dell'Immacolata Concezione,Serrenti – VedutaChiesa dell'Immacolata Concezione
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Medio Campidano
Amministrazione,Amministrazione
Sindaco,Pantaleo Talloru (lista civica) dal 16-6-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,39°29′33.06″N 8°58′35.46″E
Altitudine,114 m s.l.m.
Superficie,"42,78 km²"
Abitanti,4 418[1] (30-11-2025)
Densità,"103,27 ab./km²"
Comuni confinanti,"Furtei, Guasila, Nuraminis (CA), Samassi, Samatzai (CA), Sanluri, Serramanna"
Altre informazioni,Altre informazioni
Cod. postale,09027
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,117019
Cod. catastale,I667
Targa,VS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) serrentesi (SC) serrentesus
Patrono,"Immacolata Concezione, Santa Vitalia"
Cartografia,Cartografia
Serrenti,Serrenti
Serrenti – MappaPosizione del comune di Serrenti nella provincia del Medio Campidano,Serrenti – MappaPosizione del comune di Serrenti nella provincia del Medio Campidano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
