Collinas comune,Collinas comune.1
(IT) Collinas (SC) Forru,(IT) Collinas (SC) Forru
,
Collinas – Veduta,Collinas – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Medio Campidano
Amministrazione,Amministrazione
Sindaco,Francesco Sanna (lista civica) dal 10-6-2018 (2º mandato dal 29-5-2023)
Territorio,Territorio
Coordinate,39°38′25.67″N 8°50′24.17″E
Altitudine,249 m s.l.m.
Superficie,"20,83 km²"
Abitanti,742[1] (30-11-2025)
Densità,"35,62 ab./km²"
Comuni confinanti,"Gonnostramatza (OR), Lunamatrona, Mogoro (OR), Sardara, Siddi, Villanovaforru"
Altre informazioni,Altre informazioni
Cod. postale,09020
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,117003
Cod. catastale,C882
Targa,VS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) forresi/collinesi[3] (SC) forresus
Patrono,san Michele Arcangelo
Cartografia,Cartografia
Collinas,Collinas
Collinas – MappaPosizione del comune di Collinas nella provincia del Medio Campidano,Collinas – MappaPosizione del comune di Collinas nella provincia del Medio Campidano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
