Pauli Arbarei comune,Pauli Arbarei comune.1
,
Pauli Arbarei – Veduta,Pauli Arbarei – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Medio Campidano
Amministrazione,Amministrazione
Sindaco,Antonio Sanna (lista civica) dall'11-10-2021
Territorio,Territorio
Coordinate,39°39′39.54″N 8°55′18.63″E
Altitudine,140 m s.l.m.
Superficie,"15,14 km²"
Abitanti,522[1] (30-11-2025)
Densità,"34,48 ab./km²"
Comuni confinanti,"Las Plassas, Lunamatrona, Siddi, Tuili, Turri, Ussaramanna, Villamar"
Altre informazioni,Altre informazioni
Cod. postale,09020
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,117012
Cod. catastale,G382
Targa,VS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) paulesi (SC) paulesus
Patrono,san Vincenzo
Giorno festivo,22 gennaio
Cartografia,Cartografia
Pauli Arbarei,Pauli Arbarei
Pauli Arbarei – MappaPosizione del comune di Pauli Arbarei nella provincia del Medio Campidanoa,Pauli Arbarei – MappaPosizione del comune di Pauli Arbarei nella provincia del Medio Campidanoa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
