Tuili comune,Tuili comune.1
"(IT, SC) Tuili","(IT, SC) Tuili"
,
Tuili – VedutaL'abitato di Tuili visto dalla Giara,Tuili – VedutaL'abitato di Tuili visto dalla Giara
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Medio Campidano
Amministrazione,Amministrazione
Sindaco,Andrea Locci (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,39°42′53.09″N 8°57′35.36″E
Altitudine,208 m s.l.m.
Superficie,"24,59 km²"
Abitanti,883[1] (30-11-2025)
Densità,"35,91 ab./km²"
Comuni confinanti,"Barumini, Gesturi, Las Plassas, Pauli Arbarei, Setzu, Turri"
Altre informazioni,Altre informazioni
Cod. postale,09029
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,117022
Cod. catastale,L463
Targa,VS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) tuilesi (SC) tuilesus
Patrono,san Pietro Apostolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Tuili,Tuili
Tuili – MappaPosizione del comune di Tuili nella provincia del Medio Campidano,Tuili – MappaPosizione del comune di Tuili nella provincia del Medio Campidano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
