San Gavino Monreale comune,San Gavino Monreale comune.1
(IT) San Gavino Monreale (SC) Santu Èngiu,(IT) San Gavino Monreale (SC) Santu Èngiu
,
San Gavino Monreale – Veduta,San Gavino Monreale – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Medio Campidano
Amministrazione,Amministrazione
Sindaco,Stefano Altea (lista civica) dall'11-6-2024
Territorio,Territorio
Coordinate,39°32′59.47″N 8°47′29.89″E
Altitudine,54 m s.l.m.
Superficie,"87,4 km²"
Abitanti,7 832[1] (30-11-2025)
Densità,"89,61 ab./km²"
Comuni confinanti,"Gonnosfanadiga, Pabillonis, Sanluri, Sardara, Villacidro"
Altre informazioni,Altre informazioni
Cod. postale,09037
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,117014
Cod. catastale,H856
Targa,VS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) sangavinesi (SC) santuingiesus
Patrono,santa Chiara
Giorno festivo,12 agosto
Cartografia,Cartografia
San Gavino Monreale,San Gavino Monreale
San Gavino Monreale – MappaPosizione del comune di San Gavino Monreale nella provincia del Medio Campidano,San Gavino Monreale – MappaPosizione del comune di San Gavino Monreale nella provincia del Medio Campidano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
