Barumini comune,Barumini comune.1
(IT) Barumini (SC) Barùmini,(IT) Barumini (SC) Barùmini
,
Barumini – Veduta,Barumini – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Medio Campidano
Amministrazione,Amministrazione
Sindaco,Michele Zucca (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,39°42′13.51″N 9°00′13.1″E
Altitudine,202 m s.l.m.
Superficie,"26,4 km²"
Abitanti,1 084[1] (30-11-2025)
Densità,"41,06 ab./km²"
Comuni confinanti,"Gergei (CA), Gesturi, Las Plassas, Tuili, Villanovafranca"
Altre informazioni,Altre informazioni
Cod. postale,09021
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,117002
Cod. catastale,A681
Targa,VS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) baruminesi (SC) baruminesus
Patrono,san Sebastiano
Cartografia,Cartografia
Barumini,Barumini
Barumini – MappaPosizione del comune di Barumini nella provincia del Medio Campidano,Barumini – MappaPosizione del comune di Barumini nella provincia del Medio Campidano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
